震央地名,緯度,経度,Ｍ
青森県東方沖,40°30.7′N,142°10.7′E,Ｍ5.5
沖縄本島近海,27°18.3′N,128°25.9′E,Ｍ5.1
宗谷地方北部,45°06.3′N,141°52.7′E,Ｍ4.2
栃木県北部,36°57.2′N,139°40.8′E,Ｍ4.8
茨城県北部,36°48.5′N,140°32.3′E,Ｍ4.9
茨城県南部,36°08.5′N,139°49.0′E,Ｍ4.7
瀬戸内海中部,34°02.7′N,133°03.8′E,Ｍ4.6
伊豆大島近海,34°38.3′N,139°03.1′E,Ｍ4.7
茨城県沖,36°32.4′N,140°50.2′E,Ｍ4.4
千葉県南東沖,34°40.4′N,140°38.9′E,Ｍ5.4
青森県三八上北地方,40°47.5′N,141°20.3′E,Ｍ5.5
福島県沖,37°42.4′N,141°37.9′E,Ｍ6.4
三重県南東沖,33°09.6′N,137°23.8′E,Ｍ6.6
伊豆半島東方沖,35°04.0′N,139°06.0′E,Ｍ4.1
千葉県南東沖,34°55.7′N,139°57.8′E,Ｍ5.2
新潟県下越沖,38°33.6′N,139°23.7′E,Ｍ4.2
山形県沖,38°36.4′N,139°28.7′E,Ｍ6.7
茨城県北部,36°30.9′N,140°35.0′E,Ｍ5.1
鳥島近海,29°03.3′N,139°39.7′E,Ｍ6.2
千葉県北東部,35°22.1′N,140°17.6′E,Ｍ4.7
茨城県北部,36°41.5′N,140°39.1′E,Ｍ4.3
千葉県北東部,35°21.4′N,140°17.4′E,Ｍ5.1
日向灘,32°41.4′N,132°17.6′E,Ｍ5.0
日向灘,31°48.0′N,131°58.4′E,Ｍ6.3
岩手県沖,40°04.4′N,142°06.9′E,Ｍ4.4
根室半島南東沖,43°10.6′N,146°25.6′E,Ｍ5.3
十勝地方南部,42°33.6′N,142°52.7′E,Ｍ5.6
日向灘,32°09.8′N,132°09.0′E,Ｍ5.4
紀伊水道,33°48.0′N,134°54.8′E,Ｍ5.3
岐阜県美濃中西部,35°22.3′N,136°41.0′E,Ｍ4.4
宮城県沖,38°43.2′N,141°38.0′E,Ｍ4.6
根室半島南東沖,42°00.4′N,146°51.7′E,Ｍ6.2
胆振地方中東部,42°45.9′N,142°00.2′E,Ｍ5.8
奄美大島近海,28°16.4′N,129°30.2′E,Ｍ4.9
岩手県沖,40°16.8′N,142°19.6′E,Ｍ5.6
熊本県熊本地方,33°00.9′N,130°34.2′E,Ｍ4.3
茨城県南部,36°09.7′N,139°48.6′E,Ｍ4.9
種子島近海,30°34.3′N,131°09.8′E,Ｍ6.0
奄美大島近海,28°25.7′N,129°28.4′E,Ｍ4.0
熊本県熊本地方,33°01.6′N,130°33.2′E,Ｍ5.1